SNR (dB),BER,CSI,modulation_rate,modulation_rate_index,Ber Threshold
26.78151250383644,0.079951690821256,1.6932423149271496,qam64_0.75,4,0.1
27.28151250383644,0.0615157004830917,1.690381253270758,qam64_0.75,4,0.1
27.78151250383644,0.0426811594202898,1.6874904599489382,qam64_0.75,4,0.1
28.28151250383644,0.032421497584541,1.687799179699334,qam64_0.75,4,0.1
28.78151250383644,0.0225241545893719,1.6872511819598353,qam64_0.75,4,0.1
29.28151250383644,0.0151026570048309,1.6847445890386854,qam64_0.75,4,0.1
29.78151250383644,0.009963768115942,1.6863675686459485,qam64_0.75,4,0.1
23.520599913279625,0.0183031400966183,1.7093115741117315,qam16_0.75,3,0.1
26.520599913279625,0.0010628019323671,1.692979044019794,qam16_0.75,3,0.1
26.020599913279625,0.0017995169082125,1.6934052647258504,qam16_0.75,3,0.1
25.520599913279625,0.002415458937198,1.697155871700308,qam16_0.75,3,0.1
25.020599913279625,0.0037681159420289,1.69848663095984,qam16_0.75,3,0.1
24.520599913279625,0.0066304347826086,1.704645921734134,qam16_0.75,3,0.1
24.020599913279625,0.0134541062801932,1.7061582146881271,qam16_0.75,3,0.1
23.020599913279625,0.0298550724637681,1.7124245431076337,qam16_0.75,3,0.1
22.020599913279625,0.0671195652173913,1.721904434708912,qam16_0.75,3,0.1
21.520599913279625,0.0844806763285024,1.7258392279380763,qam16_0.75,3,0.1
22.520599913279625,0.0476751207729468,1.714617348986067,qam16_0.75,3,0.1
21.020599913279625,0.019981884057971,1.7559239704036644,qam16_0.5,2,0.1
20.520599913279625,0.0297403381642512,1.7615176290518324,qam16_0.5,2,0.1
20.020599913279625,0.0475966183574879,1.7754141282865303,qam16_0.5,2,0.1
19.520599913279625,0.0705072463768115,1.7926094783378743,qam16_0.5,2,0.1
19.020599913279625,0.0995108695652173,1.7921549097775744,qam16_0.5,2,0.1
16.510299956639813,0.029891304347826,1.7963193293321489,4qam_0.75,1,0.1
17.010299956639813,0.0165942028985507,1.7890573301695345,4qam_0.75,1,0.1
15.010299956639813,0.0876811594202899,1.8388016510302367,4qam_0.75,1,0.1
15.510299956639813,0.0608876811594202,1.8263724083780093,4qam_0.75,1,0.1
16.010299956639813,0.0453140096618357,1.812737044629577,4qam_0.75,1,0.1
18.010299956639813,0.0056582125603864,1.7739707133658515,4qam_0.75,1,0.1
17.510299956639813,0.0130917874396135,1.777997224692526,4qam_0.75,1,0.1
18.510299956639813,0.0042995169082125,1.761915564513829,4qam_0.75,1,0.1
19.010299956639813,0.0021014492753623,1.7521501913240778,4qam_0.75,1,0.1
12.5,0.0076570048309178,2.0707769267823,bpsk_0.5,0,0.1
10.5,0.0409601449275362,2.248276469124228,bpsk_0.5,0,0.1
11.0,0.0291304347826086,2.2054771064799223,bpsk_0.5,0,0.1
11.5,0.0194444444444444,2.154523143725453,bpsk_0.5,0,0.1
12.0,0.0120410628019323,2.1129072898638728,bpsk_0.5,0,0.1
10.0,0.059987922705314,2.288937938362912,bpsk_0.5,0,0.1
13.0,0.0034299516908212,2.044976533586421,bpsk_0.5,0,0.1
13.5,0.0021497584541062,2.0140854246846662,bpsk_0.5,0,0.1
14.0,0.0010024154589371,1.983247066523574,bpsk_0.5,0,0.1
14.5,0.0007004830917874,1.9547564112467053,bpsk_0.5,0,0.1
15.0,0.0003260869565217,1.9325778711836537,bpsk_0.5,0,0.1
9.5,0.0848671497584541,2.345206460580908,bpsk_0.5,0,0.1
